Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
"PENGARUH PEMBERIAN PUPUK ANORGANIK TERHADAP
PERTUMBUHAN AWAL TANAMAN CABE JAMU (Piper 
retrofractum Vahl.) DENGAN TIANG PANJAT TANAMAN 
KELOR",Penulis : fathoni rizal,"Dosen Pembimbing I : Ir. sinar suryawati, M. Si","Dosen Pembimbing II :diana nurus sholehah, S.Farm. Apt. MSi","Penelitian ini bertujuan untuk mengetahui pengaruh pemberian pupuk anorganik terhadap pertumbuhan awal tanaman cabe jamu (Piper retrofractum Vahl.).  Penelitian dilaksanakan di kebun percobaan Fakultas Pertanian Universitas Trunojoyo Madura dengan jenis tanah grumosol pada bulan Agustus - November  2014 menggunakan Rancangan Acak Kelompok dengan 3 perlakuan dan 3 ulangan.  Perlakuan yang dicoba adalah pemberian Pupuk kandang sapi dosis 0,5 kg/tanaman (P0) sebagai kontrol, Pupuk N-Urea dosis 25 g/tanaman (P1) dan Pupuk NPK-Phonska dosis 20 g/tanaman (P2).  Parameter  yang diamati adalah panjang tanaman, jumlah daun, jumlah cabang dan luas daun. Hasil penelitian menunjukkan bahwa pemberian pupuk kandang sapi (P0) cenderung menghasilkan pertumbuhan yang lebih baik dibandingkan pupuk anorganik (P1 dan P2) yang ditunjukkan oleh semua parameter pengamatan. Jumlah cabang pada perlakuan P0 berbeda nyata (BNJD 5 %) dibandingkan dengan P1 dan P2 sampai umur 10 MST, perlakuan P1 tidak berbeda nyata dibandingkan P2.  Jumlah cabang tertinggi pada umur 10 MST diperoleh pada perlakuan P0 sebanyak 4 cabang.

kata kunci : cabe jamu (piper retrofractum Vahl.) pupuk Anorganik"
RESPON PERTUMBUHAN TANAMAN BAYAM MERAH (Amaranthus gangeticus L.) TERHADAP DOSIS PUPUK PETROGANIK DAN SAAT PEMANGKASAN YANG BERBEDA,Penulis : amriyatun,Dosen Pembimbing I : ir. sinar suryawati,Dosen Pembimbing II :S,"ABSTRAK
 
Penelitian ini bertujuan untuk mengetahui pengaruh interaksi antara dosis pupuk petroganik dan saat pemangkasan yang berbeda terhadap pertumbuhan tanaman bayam merah (Amaranthus gangeticus L.). Penelitian dilaksanakan di Kebun Percobaan Universitas Trunojoyo Madura, mulai Mei - Juni 2014. Rancangan perlakuan menggunakan Rancangan Acak Lengkap (RAL) faktorial yang terdiri dari dua faktor dengan 3 kali ulangan. Faktor I adalah pemberian dosis pupuk petroganik 0 g/tanaman (P0), pupuk petroganik 50 g/tanaman (P1), pupuk petroganik 75 g/tanaman (P2), pupuk petroganik 100 g/tanaman (P3). Faktor II adalah saat pemangkasan bayam merah pada umur 25 HST (S1), dan 30 HST (S2). Hasil penelitian menunjukkan bahwa tidak terdapat interaksi antara perlakuan dosis pupuk petroganik dan saat pemangkasan yang berbeda terhadap pertumbuhan tamanan bayam merah. Perlakuan dosis pupuk petroganik memberikan pengaruh yang nyata terhadap sebagian besar parameter pengamatan seperti jumlah daun, bobot kering total, dan bobot basah total. Perlakuan saat pemangkasan yang berbeda memberikan pengaruh tidak nyata terhadap sebagian besar parameter pengamatan. Namun, berpengaruh nyata pada parameter jumlah tunas dengan jumlah tertinggi yaitu 17,75 pada saat pemangkasan 35 HST.
Kata kunci: Tanaman bayam merah (Amaranthus gangeticus L.), pupuk petroganik, pemangkasan
"
UJI BEBERAPA GALUR HARAPAN PADI GOGO DI BANGKALAN GOGO RICE STRAIN TEST HOPE IN BANGKALAN,Penulis : Fifin Fayanti,"Dosen Pembimbing I : Drs.H.Kaswan Badami, M.s.i","Dosen Pembimbing II :Dr. Ir. Gita Pawana, M.si","ABSTRAK
 
Padi merupakan tanaman pangan yang sangat dibutuhkan dalam kebutuhn sehari-hari bagi kehidupan
manusia. Upaya pembudidayaan tanaman padi merupakan usaha untuk mendapatkan bahan makanan untuk
mencukupi kebutuhan pangan. Penelitian ini bertujuan untuk mengetahui  bagaimana pertumbuhan dari
beberapa padi gogo galur harapan pada lingkungan lahan kering di bangkalan. Penelitian dilakukan dilahan
sawah Universitas Tronojoyo Bangkalan, Madura. Pada bulan Desember 2013-Mei 2014 Percobaan
dilaksanakan secara non faktorial dengan Rancangan Acak Kelompok (RAK) dengan 4 ulangan. Faktor
utama adalah galur varietas padi gogo R1 (FG1R-36-1-1). R2 (FG1R-30-1-4). R3 (FG1R-65-1-2). R4
(FG1R-30-1-1). R5 (FAT-4-1-1) dengan varietas pembanding situ bagendit dan towuti. Hasil penelitian
menunjukkan ada pengaruh faktor lahan kering terhadap pertumbuhan 5 galur padi gogo terhadap tinggi
tanaman. Faktor yang berpengaruh adalah pada galur R2, hal ini menunjukkan R2 memiliki pertumbuhan
yang baik, waktu berbunga paling cepat, jumlah gabah isi yang banyak dan jumlah anakan yang relatif
sedikit. 
Kata kunci: Galur padi gogo, lahan kering
"
"UJI PERTUMBUHAN DAN PRODUKSI LIMA GALUR HARAPAN PADI GOGO ( FG1-70-2-1, FG1R-36-1-1, FG1R-30-1-5, FG1R-30-1-4, FG1-6-1-2 ) DI BANGKALAN",Penulis : AFFIF NURCHOLIS YUKA,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, M.P","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si","ABSTRAK
Penelitan ini bertujuan untuk mengetahui perbandingan pertumbuhan dan hasil produksi lima galur harapan padi gogo di Kecamatan Kamal, Bangkalan Madura. Penelitian dilaksanakan di lahan sawah kebun percobaan Universitas Trunojoyo Madura, mulai dari bulan Desember 2013 – April 2014. Penelitian ini menggunakan metode ortogonal kontras dengan 7 perlakuan dan diulang sebanyak 4 kali, 7 perlakuan tersebut adalah 5 galur harapan padi gogo dan 2 varietas pembanding yaitu Towuti dan Situ Bagendit. Hasil penelitian menunjukkan, perlakuan memberikan pengaruh yang nyata terhadap parameter tinggi tanaman pada perbandingan R1 dan R3 di 10 MST dan perbandingan R2 dengan R5 pada 8 dan 10 MST, namun untuk parameter jumlah daun, anakan vegetatif, anakan produktif, umur berbunga, umur panen, panjang malai, jumlah gabah isi, gabah hampa per malai, dan bobot 1000 butir benih tidak menunjukan beda nyata. Secara umum hasil perbandingan menunjukan tidak berbeda nyata pada hampir semua parameter pengamatan dengan 2 varietas unggul padi gogo sebagai pembanding, artinya pertumbuhan dan produksi galur – galur harapan padi gogo yang di ujikan adaptif dengan kondisi lingkungan di bangkalan.
Kata Kunci :Galur Harapan Padi Gogo, Pertumbuhan, Produksi, Bangkalan.
"
PENGARUH DOSIS PEMUPUKAN NPK TERHADAP PRODUKSI TANAMAN CABE RAWIT (Capsicum frutescens L.),Penulis : ULUL IMAMI,"Dosen Pembimbing I :  Drs. H. Kaswan Badami, M.Si","Dosen Pembimbing II :Ir. Sinar Suryawati, M.Si","ABSTRAK
Cabe rawit (Capsicum frutescens L.) merupakan salah satu tanaman hortikultura yang bernilai ekonomis tinggi. Cabe rawit identik dengan sensasi rasa pedas yang disebabkan oleh senyawa capsaicin yang dikandunganya. Keterbatasan lahan, ketersediaan unsur hara, dan serangan hama penyakit menyebabkan menurunnya produksi dari tanaman cabe rawit. Untuk mengatasi masalah tersebut maka penelitian ini dilakukan dengan tujuan untuk mendapatkan dosis NPK optimum bagi produksi dan kandungan capsaicin pada buah tanaman cabe rawit. Penelitian ini dilaksanakan di desa gili kecamatan kamal kabupaten bangkalan bulan januari sampai April 2014. Penelitian ini menggunakan RAK non faktorial terdiri atas 5 perlakuan dan 3 ulangan. Perlakuan terdiri atas Po yaitu kontrol, P1 dengan dosis NPK 1 gram/tanaman, P2 dengan dosis NPK 1,5 gram/tanaman, P3 dengan dosis NPK 2 gram/tanaman, dan P4 dengan dosis NPK 2,5 gram/tanaman. Respon tanaman cabe rawit terhadap perlakuan dosis pupuk NPK yang berbeda ditunjukkan pada fase vegetatif dan generatif yang meliputi jumlah daun, jumlah anak cabang, jumlah bunga, jumlah buah, bobot segar buah, bobot basah buah dan kandungan senyawa capsaicin pada buah. Hasil penelitian menunjukkan bahwa semua perlakuan dosis pupuk NPK sampai dengan yang dicoba memberikan pengaruh yang tidak nyata. Parameter jumlah daun, jumlah anak cabang, jumlah bunga, jumlah buah, bobot segar buah, bobot kering buah memberikan hasil tertinggi pada perlakuan P3 dan P4. Parameter Capsaicin buah yang memiliki kandungan senyawa capsaicin tertinggi pada perlakuan P3 dan P4, warna buah merah lebih tinggi kandunganya dibandingkan dengan warna hijau dan kuning.
Kata kunci: Cabe rawit, NPK, Produksi, Capsaicin.
"
PENGARUH PEMBERIAN BEBERAPA KONSENTRASI GIBERELIN TERHADAP KUALITAS BUAH DUWET (Syzygium cumini (L) Skeels.),Penulis : MUHAMMMAD MUHARRAM,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan, SP, M.Si","Dosen Pembimbing II :Dr. Ir. Gita Pawana, M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh pemberian konsentrasi giberelin terhadap kualitas buah dan ukuran biji duwet (Syzygium cumini (L) Skeels.). Penelitian dilaksanakan di Desa Banyu Ajuh, Kecamatan Kamal, Kabupaten Bangkalan dengan menggunakan tanaman duwet berumur 30 tahun milik warga , pada bulan September-November 2014. Penelitian ini disusun menggunakan rancangan acak lengkap yang terdiri dari satu faktor yaitu giberelin, yang terdiri dari 4 taraf konsentrasi yaitu: 0, 50, 75, dan 100 ppm. Hasil penelitian menunjukkan bahwa induksi giberelin memberikan pengaruh nyata terhadap parameter biji (diameter, dan panjang) dan buah panen (diameter, panjang, bobot, dan tebal daging), sedangkan pengaruh tidak nyata ditunjukkan pada parameter bobot biji."
UJI KOMPARASI PRODUKSI TANAMAN  PADI (Oryza sativa L.) ANTARA TADA HUJAN DAN IRIGASI PROYEK PENGAIRAN AIR TANAH (P2AT) DI DESA TELANG KECAMATAN KAMAL KABUPATEN BANGKALAN,Penulis : Sainuddin,Dosen Pembimbing I : Ahmad Arsyad Munir ,Dosen Pembimbing II :Eko Murniyanto,"Padi (Oryza sativa L.) merupakan salah satu tanaman pangan dunia dan sebagai makanan pokok , makanan pokok adalah beras atau nasi. Nasi merupakan salah satu makanan pokok yang mudah di olah, mudah di sajikan, dan mengandung energi yang cukup tinggi, sehingg berpengaruh besar terhadap tubuh dan kesehatan.
Penelitian ini bertujuan untuk mempelajari perbedaan produktivitas tanaman padi (Oryza sativa L.) sawah tadah hujan dan sawah irigasi Proyek Pengairan Air Tanah di Desa Telang Kecamatan Kamal Kabupaten Bangkalan. Penelitian ini ada dua lokai yang pertama sawah tadah hujan yang di laksanakan di Dusun Telang Candih Desan Telang Kecamatan Kamal Kabupaten Bangkalan, sedangkan yang ke dua sawah irigasi yang di laksanakan di Dusun Telang Wakaf Desa Telang Kecamatan Kamal Kabupaten Bangkalan pada tanggal 13 – 25 Oktober 2014. Metode yang di gunakan adalah metode surve dan wawancara langsung dengan petani di masing – masing stasiun yang di tatapkan berdasarkan hamparan sawah.
Hasil produktivitas tanaman padi (Oryza sativa L.) sawah tadah hujan dan sawah irigasi di Desa Telang Kecamatan Kamal Kabupaten Bangkalan adalah berbeda nyata, lebih tinggi hasil produksinya sawah irigasi Proyek Pengairan Air Tanah di bandingkan dengan sawah tadah hujan.

Kata kunci:	Padi, Sawah Tadah Hujan, Sawah Irigasi Proyek Pengairan Air 				Tanah, Produksi.
"
PENGARUH PERIODE BUKAAN SUNGKUP TERHADAP KECEPATAN TUMBUH KUNCUP MATA TUNAS DAN LAJU PERTUMBUHAN BIBIT TEBU (Sacharum officinarum Linn.) ASAL BUD CHIPS,Penulis : SITI KHOLIFA RISKI PRADITA,"Dosen Pembimbing I : Dr.Ir. Eko Murniyanto, MP","Dosen Pembimbing II :Ir. Sinar Suryawati, M. Si","SITI KHOLIFA RISKI PRADITA. 2015. PENGARUH PERIODE BUKAAN SUNGKUP TERHADAP KECEPATAN TUMBUH KUNCUP MATA TUNAS DAN LAJU PERTUMBUHAN BIBIT TEBU (Sacharum officinarum Linn.) ASAL BUD CHIPS. Dibimbing oleh Dr. Ir. EKO MURNIYANTO, MP dan Ir. SINAR SURYAWATI, M.Si.

ABSTRAK
Tanaman tebu (Sacharum officinarum L.) merupakan salah satu komoditas bahan baku industri gula pasir. penyediaan bibit dalam jumlah banyak sangat diperlukan.  Penelitian ini bertujuan untuk mengetahui pengaruh periode bukaan sungkup terhadap kecepatan tumbuh kuncup mata tunas dan laju  pertumbuhan bibit tebu asal bud chips. Penelitian ini dilaksanakan di desa Kolor, Kecamatan Sumenep, Kabupaten Sumenep. Waktu penelitian pada bulan Oktober – Desember 2014. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) factorial, terdiri dari 4 perlakuan periode bukaan sungkup dan diulang 4 kali.perlakuan tersebut yaitu: sungkup dibuka setelah 7 HST (P1), sungkup dibuka setelah 10 HST (P2), sungkup dibuka setelah 13 HST (P3) dan sungkup dibuka setelah 16 HST (P4). Hasil penelitian menunjukkan perlakuan bukaan sungkup 7 (HST) cenderung memberikan pertumbuhan mata tunas yang paling baik dibanding perlakuan yang lainnya.

Kata kunci: Tebu, Bud Chip, Periode Bukaan, Kuncup Mata Tunas,
                     Pertumbuhan
"
"KOMPOSISI VEGETASI PADA SISTEM PEKARANGAN 
TANE’AN LANJHENG  DI KABUPATEN SAMPANG
",Penulis : AKHMAD FATONI                                     ,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan, SP, M.Si","Dosen Pembimbing II :Ir. H. Suhartono, M.P","Penelitian ini bertujuan untuk mengetahui spesies tanaman yang di tanam di pekarangan Tanian Lanjang dan pemanfaatan pekarangan rumah di Kabupaten Sampang. Penelitian ini di laksanakan di empat Kecamatan di Kabupaten Sampang yaitu di Kecamatan Omben, Jrengik, Pangarengan, dan Sreseh pada bulan Agustus sampai bulan November 2014. Metode yang digunakan yaitu pendataan cuplikan atau gambar serta wawancara.
Hasil penelitian menunjukkan bahwa komoditas yang dibudidayakan sesuai dengan manfaat dan bernilai ekonomi. Jenis tanaman yang dibudidayakan masyarakat merupakan jenis-jenis tanaman yang sesuai dengan kondisi agroklimat di Kabupaten Sampang khususnya di Kecamatan Omben, Jrengik, Pangarengan, dan Sreseh. Komoditas tersebut antara lain buah-buahan, sayuran, hias, obat, ubi-ubian, rempah, dan tanaman industri. Hasil dari pemanfaatan lahan pekarangan tersebut dapat berkontribusi pada kebutuhan pangan keluarga dan juga berpeluang meningkatkan penghasilan rumah tangga.

Kata kunci : Agroklimat, Elemen Pekarangan, Pangan keluarga
"
PENGARUH NAUNGAN DAN PUPUK FOSFAT TERHADAP PERTUMBUHAN DAN KANDUNGAN MINYAK ATSIRI PADA TANAMAN SELASIH (Ocimum basilicum L.),Penulis : ANGGA LESMANA,Dosen Pembimbing I : Ir. SUHARTONO. MP,"Dosen Pembimbing II :DIANA NURUS SHOLEHAH, S.Farm, Apt, M.Si","Penelitian ini dilakukan di kebun Percobaan Agroekoteknologi, Fakultas Pertanian, Universitas Trunojoyo Madura pada bulan Januari – April 2015. Penelitian ini bertujuan untuk mengetahui pengaruh naungan dan pupuk fosfat terhadap pertumbuhan dan kandungan minyak atsiri pada tanaman selasih (Ocimum basilicum l.). Rancangan yang digunakan yaitu petak terbagi (split plot design). Petak Utama (main plot) adalah naungan yang terdiri dari 2 taraf yaitu tanpa naungan (0%), (N0) dan naungan 25 % (N1). Anak petak (sub plot) adalah pupuk fosfat yang terdiri dari 4 taraf yaitu tanpa pemupukan (Kontrol) (P1), 1,5 g/ tanaman (P2), 3 g/ tanaman (P3), dan 4,5 g/ tanaman (P4).
Hasil penelitian menunjukkan bahwa terdapat interaksi antara naungan dan pupuk fosfat terhadap variabel tinggi tanaman 49 HST dan bobot kering total tanaman. Perlakuan naungan 25 % memberikan nilai rata – rata teringgi terhadap parameter tinggi tanaman, luas daun, pengukuran klorofil, bobot segar total tanaman, bobot kering total tanaman, dan kadar minyak atsiri. Perlakuan pupuk fosfat berpengaruh nyata terhadap klorofil total dan peningkatan kadar minyak atsiri. Perlakuan naungan dan pupuk fosfat tidak terdapat pengaruh terhadap variabel jumlah daun dan bobot biji 100 butir. Hasil penelitian ini dapat digunakan sebagai teknologi alternatif peningkatan kadar minyak atsiri budidaya tanaman selasih.
Kata kunci : Ocimum basilicum l, naungan, pupuk fosfat, minyak atsiri"
PENGARUH MACAM PUPUK ORGANIK TERHADAP PRODUKSI BIOMASSA DAN VITAMIN C BAYAM MERAH(Amaranthus tricolor L.),Penulis : usman,"Dosen Pembimbing I : 3Diana Nurus Sholehah, S.Farm,. Apt. Msi","Dosen Pembimbing II :Ir. Sinar Suryawati, M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh  macam pupuk organik terhadap produksi biomassa dan kandungan vitamin C tanaman bayam merah (Amaranthus tricolor L ). Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) dengan perlakuan macam pupuk organik yaitu P0: tampa pemberian pupuk (control), P1: pupuk hijau daun lamtoro 20 ton/ha, P2: pupuk kotoran kambing 20 ton/ha dan P3: pupuk hijau daun lamtoro 10 ton/ha + pupuk kotoran kambing 10 ton/ha. Perlakuan diulang sebanyak 4 kali. Penelitian ini dilaksanakan di kebun percobaan Universitas Trunojoyo Madura pada bulan November sampai bulan Desember 2014. Variabel yang diamati meliputi: jumlah daun, bobot basah, bobot kering dan analisis kandungan vitamin C pada tanaman bayam. Hasil penelitian menunjukan bahwa tidak terdapat pengaruh nyata pada pengamatan 1, 2 dan 4 MST, nanum pada pengamatan 3 MST terdapat pengaruh nyata akibat perlakuan macam pupuk organik terhadap variabel jumlah daun, kotoran kambing dengan hasil tertinggi dihasilkan pada perlakuan yaitu 10.55 cm.
Kata kunci:bayam merah, macam pupuk organik
"
"PERTUMBUHAN, HASIL DAN KANDUNGAN PIGMEN KAROTENOID TANAMAN BAYAM MERAH (Alternanthera amonea Voss.) PADA BERBAGAI WARNA SUNGKUP PLASTIK",Penulis : Moh. Suci Hermawan,"Dosen Pembimbing I : Ir. Sinar Suryawati, M.Si",Dosen Pembimbing II :Ir. Suhartono M.P,"Penelitian ini dilakukan untuk mengetahui pertumbuhan, hasil dan kandungan pigmen karotenoid tanaman bayam merah (Alternanthera amonea Voss) pada berbagai warna sungkup plastik. Penelitian dilaksanakan pada Bulan Februari hingga Maret 2015, di lahan percobaan Jurusan Agroekoteknologi Fakultas Pertanian Universitas Trunojoyo Madura, Kecamatan Kamal, Kabupaten Bangkalan  yang terletak 5 m dpl. Rancangan penelitian yang digunakan adalah Rancangan Acak Lengkap (Completely Randomized Design) dengan 4 ulangan. Perlakuan yang dicoba yaitu aplikasi  warna sungkup plastik (bening, merah, biru, dan hijau) dan tanpa sungkup.  Variabel yang diamati meliputi: intensitas cahaya, penerusan intensitas cahaya, tinggi tanaman, jumlah daun, luas daun, berat segar, berat kering, dan kandungan pigmen karotenoid daun tanaman bayam merah.  Hasil penelitian menunjukkan perlakuan warna sungkup plastik berpengaruh terhadap semua variabel yang diamati. Sungkup bening menghasilkan pertumbuhan (tinggi tanaman, jumlah daun, luas daun) dan hasil (berat segar, berat kering) tanaman bayam merah terbaik sedangkan tanpa sungkup menghasilkan kandungan pigmen karotenoid terbaik pada daun tanaman bayam merah.
Kata kunci: warna sungkup plastik, intensitas cahaya, bayam merah, pigmen karotenoid."
KARAKTERISASI MORFOLOGI CABE JAWA (Piper retrofractum Vahl.) DI SENTRA PENANAMAN KABUPATEN SUMENEP MADURA,Penulis : HAYATI,Dosen Pembimbing I : Dr. Ir. Eko Murniyanto. MP,"Dosen Pembimbing II :Diana Nurus Sholehah, S.Farm.,Apt.M.Si","Cabe jawa (Piper retrofractum Vahl.) merupakan tanaman berkhasiat obat yang banyak dibudidayakan di Indonesia. Penelitian ini bertujuan untuk mengetahui variasi morfologi di daerah sentra penanaman cabe jawa Sumenep. Penelitian ini dilaksanakan Oktober hingga November 2014. Penentuan daerah sentra penanaman menggunakan metode purposive sampling. Jumlah sampel tanaman ditentukan dengan metode proporsional sampling sedangkan pemilihan sampel tanaman ditetapkan secara acak pada tanaman yang sedang berbuah dan berumur 2-5 tahun. Jumlah sampel sebanyak 50 tanaman. Wilayah penelitian meliputi kecamatan Bluto, Lenteng, Ganding, Guluk-guluk dan Batang-batang. Karakterisasi morfologi yang dilakukan secara skoring dengan mengidentifikasi karakter morfologi (35 karakter morfologi) yang meliputi karakter akar, batang, cabang, daun, bulir, buah, dan biji. Pengelompokan OTUs menggunakan metode Average lingkage UPGMA, untuk selanjutnya disajikan dalam bentuk dendogram. Hasil penelitian menunjukkan bahwa keragaman cabe jawa Sumenep terletak pada karakter letak cabang lateral, jumlah nodus pada cabang lateral, produksi akar adventif, warna batang, panjang tangkai daun, bentuk helaian daun, jumlah bulir per cabang lateral, warna bulir, panjang bulir, panjang tangkai bulir, ukuran buah, dan rasa buah. Hasil analisis kelompok berdasarkan matrik kemiripan disajikan dalam bentuk dendogram, pada koefisien kemiripan 0.86 terbagi 5 kelompok. Kelompk 1 terdiri 35 kultivar, kelompok 2 terdiri 8 kultivar, kelompok 3 terdiri 4 kultivar, kelompok 4 terdiri 2 kultivar dan kelompok 5 terdiri 1 kultivar. 

Kata kunci : Cabe jawa, Sumenep, karakter morfologi, hubungan kekerabatan"
Pengaruh Lama Penyimpanan Stek Terhadap Pertumbuhan Awal Tanaman Buah Naga Putih (Hylocereus undatus),Penulis : Luqman Khakim,"Dosen Pembimbing I : Ir. Sinar suryawati, M.si","Dosen Pembimbing II :Dr. Ir. R.A. Sidqi Zaed ZM, M.S","ABSTRAK

Penelitian ini bertujuan untuk mengetahui pengaruh lama penyimpanan stek terhadap pertumbuhan awal tanaman buah naga putih (Hylocereus undatus).   Penelitian ini dilaksanakan di Kebun Percobaan Program Studi Agroekoteknologi Fakultas Pertanian Universitas Trunojoyo Madura yang terletak di Desa Telang Kecamatan Kamal Kabupaten Bangkalan pada ketinggian  tempat ± 5 m dpl, pada akhir musim kemarau sampai awal musim hujan (bulan Oktober 2014 sampai Januari 2015).  Penelitian menggunakan rancangan acak kelompok dan perlakuan yang dicoba adalah lama penyimpanan stek sebelum tanam yang terdiri dari 5 taraf yaitu : tanpa penyimpanan, penyimpanan 1 minggu, penyimpanan 2 minggu, penyimpanan 3 minggu dan penyimpanan 4 minggu. Hasil penelitian menunjukkan bahwa perlakuan lama penyimpanan berpengaruh nyata terhadap parameter panjang akar, jumlah akar dan berat basah stek pada umur 0 MST.  Perlakuan lama penyimpanan 2 - 4 minggu menghasilkan parameter panjang akar dan jumlah akar yang terbaik pada umur 0 MST.  Perlakuan lama penyimpanan berpengaruh nyata terhadap parameter panjang tunas pada umur 6 – 9  MST, tetapi tidak berpengaruh nyata terhadap panjang akar, jumlah akar, jumlah tunas, berat basah pada umur 9 MST dan saat muncul tunas. Perlakuan lama penyimpanan 2 minggu menghasilkan panjang tunas terbaik dibandingkan perlakuan lainnya

Kata kunci : Tanaman buah naga putih (Hylocereus undatus), lama penyimpanan, stek batang."
RESPONS TANAMAN JAGUNG KETAN (Zea mays L.) LOKAL ASAL KANGEAN TERHADAP PEMBERIAN BERBAGAI JENIS PUPUK,Penulis : MABRUR ARIF ARIYANTO,"Dosen Pembimbing I : Dr. Ir. Gita Pawana, M. Si","Dosen Pembimbing II :Diana Nurus Sholehah, S. Farm, Apt, Msi","Kajian tentang aplikasi berbagai jenis pupuk pada tanaman jagung ketan lokal asal Kangean sangat terbatas sehingga perlu dilakukan penelitian tentang respons tanaman jagung ketan (Zea mays L.) lokal asal kangean terhadap pemberian berbagai jenis pupuk. Penelitian ini dilaksanakan di desa Kolor, Kecamatan Sumenep, Kabupaten Sumenep, mulai bulan November 2014 sampai dengan bulan Februari 2015. Rancanga percobaan yang digunakan pada penelitian ini adalah non faktorial dengan 6 perlakuan dan diulang sebanyak 3 kali yaitu: P1 : pupuk majemuk NPK (9 g/tan), P2 : pupuk organik (400 g/tan), P3 : pupuk hayati (10 g/tan), P4 : 4,5 g pupuk majemuk NPK + pupuk organik (200 g/tan), P5 : pupuk organik (200 g/tan) + pupuk hayati (10 g/tanaman), P6 : 4,5 g pupuk majemuk NPK + pupuk hayati (10 g/tan). Hasil penelitian menunjukkan perlakuan Kombinasi pupuk majemuk sintetik (NPK) dan pupuk Hayati PF (P6) dengan dosis 4,5 g pupuk majemuk NPK + pupuk hayati (10 g/tan) memiliki respon yang paling baik dibandingkan dengan perlakuan lainnya.
Kata kunci: Jagung Ketan (Zea mays L.), Lokal Asal Kangean, Jenis Pupuk
"
Pengaruh Saat Penyiangan dan Jarak Tanam Terhadap Pertumbuhan dan Produksi Tanaman Kedelai (Glycine max (L.) Merr),Penulis : Ma'rifatul Lailiyah,"Dosen Pembimbing I : Dr. Ir. Gita Pawana, M.Si","Dosen Pembimbing II :Ir. H. Suhartono, MP ","ABSTRAK
Penelitian ini bertujuan untuk mengetahui pengaruh jarak tanam dan saat penyiangan terhadap pertumbuhan dan produksi kedelai (Glycine max (L). Merr). Penelitian dilaksanakan di Kebun Percobaan Program Studi Agroekoteknologi Fakultas Pertanian Universitas Trunojoyo Madura yang terletak di desa Telang kecamatan Kamal kabupaten Bangkalan pada ketinggian tempat ± 5 m dpl. Pelaksanaan dimulai bulan November 2014 sampai dengan bulan Januari 2015. Penelitian ini disusun menggunakan rancangan acak kelompok (RAK) Faktorial yang terdiri atas 2 faktor dimana faktor pertama adalah waktu penyiangan yaitu tanpa penyiangan, penyiangan 2 dan 5 MST dan penyiangan 3 dan 6 MST serta faktor kedua adalah jarak tanam yaitu 40 × 20 cm, 40 × 30 cm dan 40 × 40 cm. Hasil penelitian menunjukkan bahwa waktu penyiangan berpengaruh nyata terhadap jumlah daun, berat kering polong, jumlah polong isi, berat biji per tanaman dan berat kering gulma. Perlakuan waktu penyiangan 2 dan 5 MST merupakan waktu penyiangan yang optimal bagi pertumbuhan dan hasil tanaman kedelai. Sedangkan perlakuan jarak tanam tidak berpengaruh nyata terhadap semua variabel pengamatan. Interaksi antara perlakuan waktu penyiangan dan jarak tanam terjadi saat umur 6 MST pada variabel pengamatan jumlah daun.

Kata kunci : Kedelai (Glycine max (L.) Merr), waktu penyiangan, jarak tanam, pertumbuhan, produksi.
"
